full_name,gender,club_name,source_id
"Orrego, Ariel",men,Calambre Swim Team,1
"Ventura, Maxi",men,Azul Natacion Mendoza,1
"Maldonado, Nicolas",men,Agua Plena San Rafael,1
"Rincon, Luis",men,Orinoco Swim,1
"Carrera, Angel",men,Nunoa Master,1
"Nava, Jose",men,Nunoa Master,1
"Him, Carlos",men,Orinoco Swim,1
"Celaya, Ariel",men,Aquaclub Maipu,1
"Rivera, Luis",men,Natacion Master Recoleta,1
"Le Cerf, Patricio",men,Orinoco Swim,1
"Sanchez, Marco",men,Master Providencia,1
"Barreto, Yuhneyber",men,Pedro Aguirre Cerda,1
"Gonzalez, Matias",men,Aquaclub Maipu,1
"Gonzalez, German",men,Master Providencia,1
"Osses, Daniel",men,Nunoa Master,1
"Serrano, Hector",men,100 por Ciento Swim,1
"Winter, Juan Enrique",men,Club Deportivo UC,1
"Camargo, Pablo Sergio",men,Aquaclub Maipu,1
"Hidalgo, Victor Andreés",men,Penñalolen Master,1
"Rojas, Freddy",men,100 por Ciento Swim,1
"Maureira, Luis",men,Pedro Aguirre Cerda,1
"Lucena, Larry",men,Nunoa Master,1
"Catalan, Marcelo",men,Master Providencia,1
"Siqueira, Pablo",men,Penñalolen Master,1
"Romo, Fabri",men,Azul Natacion Mendoza,1
"Silva, Raul",men,Penñalolen Master,1
"Biason, Marcelo",men,Golden,1
"Ubilla, Juan Carlos",men,Penñalolen Master,1
"Pacheco C, Mario Alejandro",men,Club Deportivo UC,1
"Panetti, Mario",men,Golden,1
"Gonzaélez, Rodrigo",men,Penñalolen Master,1
"Figueroa, Miguel",men,Azul Natacion Mendoza,1
"Fuenzalida, Roberto",men,Penñalolen Master,1
"Lucero, Carlos A",men,Area Club San Luis,1
"Cabello Tilleria, Jorge",men,Penñalolen Master,1
"Cabello, Andres T",men,Iron Swim Master,1
"Toledo, Fredi",men,Natacion Master Recoleta,1
"Donoso, Juan",men,Master San Bernardo,1
"Alvarez, Ricardo",men,Nunoa Master,1
"Guerra B, Manfredo",men,Calambre Swim Team,1
"Jimenez, Javiera",women,Calambre Swim Team,1
"Aguilera, Ayelen",women,Azul Natacion Mendoza,1
"Zamora Tapia, Barbara",women,Master Vitacura Swim,1
"Aparicio, Adriana",women,Nunoa Master,1
"Jara, Carolina",women,Natacion Master Buin,1
"Ojeda, Veroénica",women,Penñalolen Master,1
"Dable, Marie Claire",women,Master Providencia,1
"Tapia, Marcela",women,Africa Natacion,1
"Acencio, Claudia",women,Master Providencia,1
"Acunña, Patricia",women,Master Providencia,1
"Canñete, Soledad",women,Natacion Master Recoleta,1
"Alarcon, Silvia",women,Natacion Master Recoleta,1
"Munñoz, Maria",women,Nunoa Master,1
"Toro, Soledad",women,Master Providencia,1
"Robles, Graciela",women,Nunoa Master,1
"Nunñez, Elizabeth",women,Master Providencia,1
"Escudero, Oriele",women,Nunoa Master,1
"Reis Aguayo, Nelson",men,Penñalolen Master,1
"Zapata Esquivel, Tomas Benja",men,Aquaclub Maipu,1
"Saavedra, Lucas",men,Penñalolen Master,1
"Cantoro, Sergio",men,Aquaclub Maipu,1
"Magnenat, Javier",men,Agua Plena San Rafael,1
"Barrera, Barrera",men,Azul Natacion Mendoza,1
"Arce, Javier",men,Calambre Swim Team,1
"Cabello, Daniel",men,Natacion Master Recoleta,1
"Vidal, Rodrigo",men,Penñalolen Master,1
"Smith, Carlos",men,Master Providencia,1
"Rasse, Patricio",men,Master Providencia,1
"Vega, Patricio",men,Natacion Master Buin,1
"Catalan, Sergio",men,Nunoa Master,1
"Moreno, Luis",men,Nunoa Master,1
"Guadalupe, Jaime",men,Master Providencia,1
"Rivas, Alondra",women,Pedro Aguirre Cerda,1
"Gonzalez, Daniela",women,Nunoa Master,1
"Ramíérez, Orieta",women,Penñalolen Master,1
"Aros, Paola",women,Master Providencia,1
"Amaro, Maria",women,Pedro Aguirre Cerda,1
"Ayala, Elena",women,Master Providencia,1
"Ruiz, Javier",men,Agua Plena San Rafael,1
"Vergara, Bruno",men,Nunoa Master,1
"Diaz, Andres",men,Master Providencia,1
"Valenzuela, Patricio A",men,Iron Swim Master,1
"Paredes, David",men,Penñalolen Master,1
"Soria, Gabriel",men,Master Providencia,1
"Reis, Nelson",men,Penñalolen Master,1
"Reyes Arenas, Eugenio",men,Penñalolen Master,1
"Cantoé, Claudio",men,Penñalolen Master,1
"Guerrero, Roberto",men,Master San Bernardo,1
"Huerta, Oscar",men,Penñalolen Master,1
"Ferrando, Nestor",men,Nunoa Master,1
"Romero, Christian",men,Nunoa Master,1
"Gallardo, Enrique",men,Golden,1
